league.season,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Time,Result,HalftimeHomeGoals,HalftimeAwayGoals,HalftimeResult,HomeShot,AwayShot,HomeShotTarget,AwayShotTarget,HomeTeamFouls,AwayTeamFouls,HomeTeamCorners,AwayTeamCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,result_home,result_away,home_goals_scored_home,home_goals_conceded_home,home_win_rate_home,away_goals_scored_away,away_goals_conceded_away,away_win_rate_away,home_season_rank,away_season_rank,home_rolling_scored,home_rolling_conceded,home_rolling_win_rate,away_rolling_scored,away_rolling_conceded,away_rolling_win_rate
2024,Lens,Stade Brestois,2,0,2024-08-25,14:00,H,2,0,H,22,10,11,2,8,6,5,2,0,0,1,0,1.0,0.0,1.118,1.294,0.412,1.235,2.235,0.294,8,9,1.4,1.0,0.4,2.0,2.0,0.4
2024,Lyon,Strasbourg,4,3,2024-08-30,19:45,H,1,1,D,22,14,13,7,10,6,9,2,3,2,0,0,1.0,0.0,2.176,1.235,0.647,1.353,1.412,0.353,6,7,1.4,1.8,0.6,1.6,1.6,0.4
2024,Montpellier,Nantes,1,3,2024-08-31,18:00,A,1,2,A,11,10,5,5,11,13,8,3,2,2,0,0,0.0,1.0,1.0,2.412,0.176,1.176,2.0,0.176,18,13,1.0,2.4,0.2,0.6,1.2,0.2
2024,Stade Brestois,St Etienne,4,0,2024-08-31,16:00,H,2,0,H,17,3,7,0,12,28,7,2,0,5,0,0,1.0,0.0,1.824,1.235,0.588,0.882,2.588,0.118,9,17,1.0,1.6,0.2,0.0,1.5,0.0
2024,Toulouse,Marseille,1,3,2024-08-31,20:00,A,0,2,A,4,11,2,5,10,12,2,3,4,2,1,0,0.0,1.0,1.176,1.294,0.294,1.941,1.412,0.588,10,2,1.0,1.4,0.2,2.4,1.2,0.6
2024,Monaco,Lens,1,1,2024-09-01,14:00,D,0,0,D,14,12,3,4,11,21,7,7,1,4,0,0,0.5,0.5,2.235,0.941,0.706,1.353,1.0,0.471,3,8,2.6,0.2,1.0,1.6,0.6,0.6
2024,Lille,Paris SG,1,3,2024-09-01,19:45,A,0,2,A,10,10,4,7,7,5,3,1,3,2,0,0,0.0,1.0,1.824,1.059,0.647,2.765,1.118,0.706,5,1,2.2,1.4,0.6,3.0,1.0,0.8
2024,Reims,Rennes,2,1,2024-09-01,16:00,H,1,1,D,11,13,7,5,9,12,3,5,2,1,0,0,1.0,0.0,1.0,1.471,0.235,1.529,1.941,0.235,16,12,1.2,1.2,0.4,1.8,1.6,0.4
2024,Angers,Nice,1,4,2024-09-01,16:00,A,0,2,A,12,12,7,9,14,13,4,7,6,4,0,1,0.0,1.0,1.059,1.941,0.294,1.647,1.529,0.353,14,4,0.8,1.4,0.2,1.2,1.4,0.2
2024,Le Havre,Auxerre,3,1,2024-09-01,16:00,H,1,1,D,21,7,8,2,10,15,2,2,1,5,0,1,1.0,0.0,0.882,2.412,0.176,1.412,2.0,0.235,15,11,1.4,1.6,0.4,1.0,1.8,0.2
